"AUC","Master.ID","Cell.Line"
15.558,410703,"CAL120"
16.677,414479,"CAL120"
15,415688,"CAL120"
15,416842,"CAL120"
16.816,417262,"CAL120"
14.999,437263,"CAL120"
14.784,437906,"CAL120"
15.896,438564,"CAL120"
15,438691,"CAL120"
15,438776,"CAL120"
15.146,442141,"CAL120"
15,447732,"CAL120"
16.999,449707,"CAL120"
15,452570,"CAL120"
15.18,463198,"CAL120"
14.941,596868,"CAL120"
16.762,600054,"CAL120"
15,608062,"CAL120"
13.349,18311,"CAL29"
14.524,23256,"CAL29"
14.297,25036,"CAL29"
14.931,26870,"CAL29"
13.885,26914,"CAL29"
12.088,26972,"CAL29"
14.684,27894,"CAL29"
10.244,28172,"CAL29"
14.854,29985,"CAL29"
14.323,32372,"CAL29"
12.84,32653,"CAL29"
12.874,33166,"CAL29"
7.8225,36599,"CAL29"
5.5721,37190,"CAL29"
14.998,44503,"CAL29"
14.226,44511,"CAL29"
12.802,45093,"CAL29"
11.676,46792,"CAL29"
13.115,48589,"CAL29"
14.086,50715,"CAL29"
16.463,50727,"CAL29"
14.527,50753,"CAL29"
14.022,52123,"CAL29"
13.674,52430,"CAL29"
14.501,52576,"CAL29"
12.808,58455,"CAL29"
13.613,58472,"CAL29"
16.474,61775,"CAL29"
14.175,345041,"CAL29"
10.252,348997,"CAL29"
11.835,375256,"CAL29"
10.342,375264,"CAL29"
15,375366,"CAL29"
14.926,375390,"CAL29"
15,375435,"CAL29"
13.342,375447,"CAL29"
14.798,375487,"CAL29"
13.7,375496,"CAL29"
14.125,375564,"CAL29"
11.855,375594,"CAL29"
14.913,375596,"CAL29"
15.807,397964,"CAL29"
15,402775,"CAL29"
14.68,404452,"CAL29"
11.095,404566,"CAL29"
15.861,410270,"CAL29"
17.883,410703,"CAL29"
15,414479,"CAL29"
15,415688,"CAL29"
15,416842,"CAL29"
16.983,417262,"CAL29"
18.277,429535,"CAL29"
16.703,437263,"CAL29"
16.526,437906,"CAL29"
14.998,438564,"CAL29"
15.949,438691,"CAL29"
14.067,438776,"CAL29"
14.872,442141,"CAL29"
15.519,447732,"CAL29"
16.957,449707,"CAL29"
16.722,452570,"CAL29"
16.441,463198,"CAL29"
18.399,600054,"CAL29"
17.789,23256,"CAL62"
13.832,25036,"CAL62"
16.554,26870,"CAL62"
13.796,26972,"CAL62"
13.4,27894,"CAL62"
8.6195,28172,"CAL62"
14.9,29985,"CAL62"
11.601,32653,"CAL62"
13.607,33166,"CAL62"
6.739,36599,"CAL62"
5.2314,37190,"CAL62"
11.439,44503,"CAL62"
14.672,44511,"CAL62"
11.861,46792,"CAL62"
12.52,48589,"CAL62"
15.542,50140,"CAL62"
13.302,50715,"CAL62"
13.599,50727,"CAL62"
15.616,50753,"CAL62"
11.609,52123,"CAL62"
13.576,52430,"CAL62"
13.989,58455,"CAL62"
14.332,58472,"CAL62"
15.603,61775,"CAL62"
14.466,345041,"CAL62"
11.98,348997,"CAL62"
14.837,350548,"CAL62"
12.149,375256,"CAL62"
9.3834,375264,"CAL62"
14.349,375366,"CAL62"
14.85,375390,"CAL62"
14.624,375435,"CAL62"
14.288,375447,"CAL62"
16.941,375487,"CAL62"
12.774,375496,"CAL62"
14.643,375560,"CAL62"
13.722,375564,"CAL62"
10.617,375594,"CAL62"
18.119,375596,"CAL62"
16.771,397964,"CAL62"
16.968,404452,"CAL62"
14.759,410270,"CAL62"
16.003,410703,"CAL62"
16.872,415688,"CAL62"
17.312,416842,"CAL62"
16.473,429535,"CAL62"
17.359,437263,"CAL62"
16.502,437906,"CAL62"
19.584,438564,"CAL62"
17.364,438691,"CAL62"
14.605,438776,"CAL62"
16.271,442141,"CAL62"
15,447732,"CAL62"
15,449707,"CAL62"
18.498,452570,"CAL62"
15.629,596868,"CAL62"
15,600054,"CAL62"
17.244,608062,"CAL62"
16.468,23256,"HUCCT1"
14.14,25036,"HUCCT1"
14.875,26870,"HUCCT1"
14.119,26914,"HUCCT1"
13.3,26972,"HUCCT1"
14.445,27894,"HUCCT1"
11.146,28172,"HUCCT1"
14.897,29985,"HUCCT1"
13.007,32372,"HUCCT1"
11.82,32653,"HUCCT1"
12.991,33166,"HUCCT1"
9.8561,36599,"HUCCT1"
5.0698,37190,"HUCCT1"
13.23,39782,"HUCCT1"
13.283,44503,"HUCCT1"
13.182,44511,"HUCCT1"
12.364,46792,"HUCCT1"
13.033,48589,"HUCCT1"
15.894,50140,"HUCCT1"
13.964,50715,"HUCCT1"
10.66,50747,"HUCCT1"
12.759,52123,"HUCCT1"
13.248,52430,"HUCCT1"
12.401,58455,"HUCCT1"
14.272,58472,"HUCCT1"
16.719,61775,"HUCCT1"
13.515,345041,"HUCCT1"
11.865,348997,"HUCCT1"
14.435,350548,"HUCCT1"
12.326,375256,"HUCCT1"
10.751,375264,"HUCCT1"
15.693,375366,"HUCCT1"
13.721,375390,"HUCCT1"
15.238,375435,"HUCCT1"
13.087,375447,"HUCCT1"
14.577,375487,"HUCCT1"
13.522,375496,"HUCCT1"
13.504,375560,"HUCCT1"
12.425,375564,"HUCCT1"
12.54,375594,"HUCCT1"
15,375596,"HUCCT1"
15,397964,"HUCCT1"
15,402775,"HUCCT1"
15.653,404452,"HUCCT1"
9.6105,404566,"HUCCT1"
15.607,410270,"HUCCT1"
17.349,410703,"HUCCT1"
15,414479,"HUCCT1"
18.25,415688,"HUCCT1"
15.832,416842,"HUCCT1"
17.383,417262,"HUCCT1"
17.62,429535,"HUCCT1"
17.04,437263,"HUCCT1"
16.387,437906,"HUCCT1"
16.836,438691,"HUCCT1"
14.921,438776,"HUCCT1"
14.998,442141,"HUCCT1"
15,447732,"HUCCT1"
16.187,452570,"HUCCT1"
18.013,600054,"HUCCT1"
16.36,23256,"NMCG1"
14.805,25036,"NMCG1"
15,26870,"NMCG1"
14.447,26914,"NMCG1"
12.279,26972,"NMCG1"
13.825,27894,"NMCG1"
12.632,28172,"NMCG1"
13.024,32653,"NMCG1"
12.869,33166,"NMCG1"
13.24,36599,"NMCG1"
8.6298,37190,"NMCG1"
16.944,39782,"NMCG1"
13.47,44503,"NMCG1"
12.847,44511,"NMCG1"
15,45093,"NMCG1"
14.692,48589,"NMCG1"
17.272,50140,"NMCG1"
16.113,50715,"NMCG1"
9.8801,50753,"NMCG1"
13.513,52123,"NMCG1"
15.943,52430,"NMCG1"
14.025,58455,"NMCG1"
14.171,58472,"NMCG1"
17.368,61775,"NMCG1"
14.704,345041,"NMCG1"
14.438,348997,"NMCG1"
11.377,375264,"NMCG1"
16.047,375366,"NMCG1"
